raw name,cleaned name,first_appearance,last_appearance,count,title
Adam Vankoeverden,Adam Van Koeverden,2021-01-15,2021-01-15,1,Member of Parliament
Adam Vaugh,Adam Vaughan,2018-09-20,2018-09-20,1,Member of Parliament
Adam Vaugham,Adam Vaugham,2020-01-29,2020-01-29,1,Parliamentary Secretary
Adam Vaughan,Adam Vaughan,2014-08-20,2021-08-11,484,Member of Parliament
Adam Vaughen,Adam Vaugham,2020-04-24,2020-04-24,1,Parliamentary Secretary
Adam Vaughn,Adam Vaughan,2014-10-06,2021-01-19,23,Member of Parliament
Adam Vughan,Adam Vaughan,2020-08-19,2020-08-19,1,Member of Parliament
Adam Wallace,Adam Wallace,2022-07-20,2022-07-20,1,Policy Advisor
Adam Waugh,Adam Waugh,2011-01-24,2011-01-24,2,Senior Special Assistant
Adam Yahn,Adam Yahn,2010-09-30,2010-09-30,1,Special Assistant
Adam Zohrri,Adam Zohrri,2022-05-25,2024-10-08,6,Policy Analyst
Adamou Saidou,Adamou Saidou,2023-04-14,2023-04-14,1,Sector Specialist
Adan Abdi,Adan Abdi,2024-07-04,2024-08-13,3,"Director, Client and Community Response"
Adanette Frederick,Adanette Frederick,2020-01-13,2020-08-14,2,Staffer
Addington Zoe,Addington Zoe,2009-02-13,2009-02-13,1,Policy Advisor
Adeeba Ahmad,Adeeba Ahmad,2018-08-28,2018-08-28,1,Outreach Officer
Adel Boularazeg,Adel Boulazreg,2016-06-14,2016-06-14,1,Policy Advisor
Adel Boulazeg,Adel Boulazreg,2016-02-09,2016-02-09,1,Policy Advisor
Adel Boulazerg,Adel Boulazreg,2017-03-28,2017-03-28,1,Policy Advisor
Adel Boulazred,Adel Boulazreg,2016-03-17,2016-03-17,1,Policy Advisor
Adel Boulazreg,Adel Boulazreg,2016-01-19,2018-05-31,279,Policy Advisor
Adel Boulrazeg,Adel Boulazreg,2017-06-21,2017-09-29,4,Policy Advisor
Adel Boulzareg,Adel Boulazreg,2016-03-15,2016-08-17,3,Policy Advisor
Adel Boulzereg,Adel Boulzereg,2018-05-08,2018-05-08,1,"Senior Policy Advisor, Minister of Transport's Office"
Adel Buolazreg,Adel Boulazreg,2016-05-02,2016-05-02,1,Policy Advisor
Adele Cooper,Adele Cooper,2013-11-29,2013-11-29,1,Acting Manager
Adele Desjardins,Adele Desjardins,2014-10-02,2016-03-02,2,Staffer
Adele Mccracken,Adele Mccracken,2025-06-10,2025-06-10,1,Manager
Adele Mugford,Adele Mugford,2021-02-23,2021-02-23,1,"Director, Indigenous Affairs"
Adele Seguing,Adele Seguing,2024-02-26,2024-02-26,1,Executive Assistant
Adelle Jonker,Adelle Jonker,2021-02-09,2021-02-09,1,Constituency Assistant
Adem Alejandro,Adem Alejandro,2019-11-14,2020-10-07,2,President
Ademola Adebisi,Ademola Adebisi,2023-12-20,2024-06-04,2,Senior Policy Analyst
Adey Bailey,Adey Bailey,2025-03-31,2025-03-31,1,Senior Trade Policy Officer
Adie Hayes,Adie Hayes,2021-02-23,2021-02-23,1,Visitor Experience
Adimi Fritz-lionel,Fritz Lionel Adimi,2022-02-10,2022-02-10,1,Policy Advisor
Adimi Lionel Adimi,Adimi Lionel Adimi,2020-08-17,2020-08-17,1,Policy Advisor
Adimi Lionel Fritz,Fritz Lionel Adimi,2022-03-30,2022-03-30,1,Policy Advisor
Aditi Naik,Aditi Naik,2024-12-11,2024-12-11,3,Policy Advisor
Aditi Ratnakarnaik,Aditi Ratnakarnaik,2023-04-26,2023-04-26,1,Policy Advisor
Adler Aristilde,Adler Aristilde,2025-04-09,2025-04-09,1,Ambassador to Zimbabwe
Adler Mark,Adler Mark,2013-12-18,2013-12-18,1,Member of Parliament
Admiral Drew Robertson,Admiral Drew Robertson,2008-11-28,2008-11-28,1,"Chief of Staff, Maritime"
Adnan Khan,Adnan Khan,2024-06-21,2024-06-21,1,Director
Adolfo Quesada,Adolfo Quesada,2023-01-30,2023-01-30,1,Trade Commissioner
Adonis Dina,Adonis Dina,2024-03-20,2024-08-28,3,Senior Analyst
Adreann Vanvugt,Adreann Vanvugt,2015-07-30,2015-07-30,1,Chief of Staff
Adria Minski,Adria Minsky,2013-03-06,2013-03-06,2,Director of Policy
Adria Minsky,Adria Minsky,2009-09-10,2013-10-29,94,Director of Policy
Adria Miskey,Adria Miskey,2012-03-20,2012-03-20,1,Policy Advisor
Adrian Bradford,Adrian Bradford,2017-08-15,2017-08-15,1,Senior Business Development Specialist
Adrian Di Giovanni,Adrian Di Giovanni,2019-05-01,2019-05-01,1,"Senior Program Specialist, Law and Development"
Adrian Egbers,Adrian Egbers,2014-09-03,2023-05-03,8,Policy Analyst
Adrian Halucha,Adrian Halucha,2021-08-03,2024-08-13,3,Policy Advisor
Adrian Majeski,Adrian Majeski,2015-10-02,2016-01-19,3,Mechanical Engineer
Adrian Minsky,Adrian Minsky,2011-11-02,2011-11-02,1,Policy Advisor
Adrian Mota,Adrian Mota,2011-01-24,2025-05-01,22,Associate Vice President
Adrian Norfolk,Adrian Norfolk,2011-02-11,2016-05-25,2,"Ambassador, Canada to Qatar"
Adrian Papara,Adrian Papara,2018-03-27,2018-03-27,1,Assistant
Adrian Raddatz,Adrian Raddatz,2022-03-14,2025-01-29,3,Advisor
Adrian Swietlicki,Adrian Swietlicki,2023-01-13,2023-01-13,1,Deputy Director
Adrian Walraven,Adrian Walraven,2016-08-11,2023-03-31,2,"Senior Director, Specific Claims"
Adriana Caudillo,Adriana Caudillo,2017-03-10,2017-03-10,1,Canadian Embassy in Mexico
Adriana Gonzalez,Adriana Gonzalez,2017-06-07,2018-10-16,37,Intern
Adriana Gouvea,Adriana Gouvea,2018-05-04,2018-05-04,1,"Senior Policy Analyst, Human Rights"
Adriana Mondragon,Adriana Mondragon,2017-10-24,2017-10-24,1,Parliamentary Assistant
Adriana Zeleney,Adriana Zeleney,2024-05-22,2024-05-22,1,Director
Adriane Epprecht,Adriane Epprecht,2022-11-16,2022-11-16,1,Analyst
Adrianna Mcgillivray,Adrianna Mcgillivray,2016-03-08,2016-04-05,2,Assistant to the Minister
Adrien Montpetit,Adrien Montpetit,2018-03-22,2018-03-22,1,Policy Advisor
Adrienne Christie,Adrienne Christie,2014-11-13,2014-11-13,1,"Senior Policy Advisor, Strategic Projects Office"
Adrienne Foster,Adrienne Foster,2021-03-01,2021-03-01,1,"Director, Strategy and Corporate Planning"
Adrienne Jones,Adrienne Jones,2015-03-31,2015-03-31,1,Head
Adrienne Morin,Adrienne Morin,2024-03-01,2024-03-01,1,"Deputy Director, Programs and Commercial Operations"
Adrienne Vickery,Adrienne Vickery,2021-01-13,2021-01-28,3,National Cryptocurrency Coordinator
Adrijana Corluka,Adrijana Corluka,2015-07-20,2015-07-20,1,Senior Policy Analyst
Aeriel Biron,Aeriel Biron,2024-11-20,2024-11-20,1,"Program Officer, Band Creation and Membership"
Afreen Ghouse,Afreen Ghouse,2023-08-09,2023-08-09,3,Member of Parliament
Afreen Sheikh,Afreen Sheikh,2023-09-28,2023-09-28,1,Constituency Affairs and Outreach Coordinator
Afshin Matin,Afshin Matin,2022-05-20,2022-05-20,1,"Head, Systems Integration Unit"
Afshin Shams,Afshin Shams,2022-02-01,2024-08-20,2,"Director, Trusted Trader Division"
Afton Doubleday,Afton Doubleday,2014-07-08,2014-07-08,1,Assistant
Agampreet Gill,Agampreet Gill,2024-05-01,2024-05-01,1,Trade Commissioner
