raw name,cleaned name,first_appearance,last_appearance,count,title
Raquel Garbers,Raquel Garbers,2023-01-13,2023-01-13,1,Director General
Rasheed Shoaib,Rasheed Shoaib,2017-04-18,2017-04-18,1,"Special Assistant, Regional Affairs"
Rashmi Sharma,Rashmi Sharma,2014-04-16,2020-05-22,9,Deputy Director
Rasmata Barry,Rasmata Barry,2009-11-19,2009-11-19,1,International Development Officer
Rasmusson Anders,Rasmusson Anders,2014-11-17,2015-02-10,2,Policy and Stakeholder Relations Officer
Rasraj Singh Hallan,Rasraj Singh Hallan,2023-06-15,2023-06-15,1,Member of Parliament
Rathika Sistabaiesan,Rathika Sitsabaiesan,2011-08-16,2011-08-16,2,Member of Parliament
Rathika Sitsabaiesan,Rathika Sitsabaiesan,2011-05-31,2015-07-22,45,Member of Parliament
Rathika Sitsabaieson,Rathika Sitsabaiesan,2011-09-21,2011-09-21,1,Member of Parliament
Rathika Sitsabaisan,Rathika Sitsabaiesan,2014-10-17,2014-10-17,1,Member of Parliament
Rathika Sitsabiesan,Rathika Sitsabaiesan,2012-10-25,2012-10-29,3,Member of Parliament
Ratna Obnivar,Ratna Omidvar,2017-11-29,2018-02-06,2,Senator
Ratna Omdivar,Ratna Omidvar,2018-02-01,2018-02-01,1,Senator
Ratna Omidvar,Ratna Omidvar,2016-06-02,2024-09-26,160,Senator
Ratna Omvidar,Ratna Omvidar,2017-09-06,2017-09-06,1,Senator
Raul Dumitras,Raul Dumitras,2022-02-17,2022-03-24,2,Analyst
Ravalia,Ravalia,2019-05-15,2019-05-15,1,Senator
Ravalia Mohamed-iqbal,Ravalia Mohamed-iqbal,2019-02-19,2019-02-19,1,Senator
Ravi Sall,Ravi Sall,2022-02-07,2022-02-07,1,Chief of Staff
Ravi Sundararaj,Ravi Sundararaj,2024-03-12,2024-03-12,1,Senior Director
Ravina Bains,Ravina Bains,2011-03-08,2013-05-15,17,Director of Parliamentary Affairs | Director of Policy and Region
Ravinder Arora,Ravinder Arora,2017-09-08,2024-08-28,4,District Veterinarian
Rawan El-komos,Rawan El-komos,2023-03-01,2023-03-01,1,"Director General, Workforce Management"
Ray Amos,Ray Amos,2015-05-12,2015-05-12,1,Assistant Deputy Minister
Ray Baughen,Ray Boughen,2012-05-07,2012-05-07,1,Member of Parliament
