raw name,cleaned name,first_appearance,last_appearance,count,title
Ilyad Kaghad,Iyad Kaghad,2024-03-05,2024-03-05,1,Policy Advisor
Ima Okonny,Ima Okonny,2024-06-06,2024-06-06,2,Chief Data Officer
Imaan Sandhu,Imaan Sandhu,2024-01-11,2024-01-11,1,Policy Advisor
Imane Hamdani,Imane Hamdani,2024-10-17,2025-05-27,6,Standards Engineer
Imi Waljee,Imi Waljee,2020-07-22,2024-05-17,6,"Regional Director, Civil Aviation - Ontario"
Immaculate Byaruhanga,Immaculate Byaruhanga,2022-01-21,2022-01-21,1,Business Officer
Imraan Bashir,Imraan Bashir,2017-07-28,2019-12-02,11,CSO
Imran Bashir,Imran Bashir,2018-08-31,2018-08-31,1,Senior Director
Imran Damani,Imran Damani,2020-07-17,2020-07-17,1,Economic Analyst
Indee Inyangudor,Idee Inyangudor,2011-11-01,2014-12-10,2,Director of Policy and Stakeholder Relations
Indrani Hallan,Indrani Hallan,2008-08-07,2008-08-07,1,Head
Indrani Hulan,Indrani Hulan,2017-02-23,2021-08-05,33,"Director, Rail Policy Analysis and Legislative Initiatives"
Ines Kwan,Ines Kwan,2020-10-03,2020-10-03,1,Counsel
Ines Walther,Ines Walther,2023-09-27,2023-09-27,1,Veterinarian
Inez Nevelle,Inez Nevelle,2017-10-05,2017-10-05,1,Policy Advisor
Inez Neville,Inez Neville,2024-12-03,2025-04-01,3,Chief of Staff
Inga-lill Olsson,Inga-lill Olsson,2023-01-30,2025-04-07,5,Trade Commissioner
Ingrid Arcand,Ingrid Arcand,2025-02-13,2025-02-13,1,Advisor
Ingrid Burgetz,Ingrid Burgetz,2022-05-04,2022-10-24,2,Acting Director
Ingrid De Freitas,Ingrid De Freitas,2022-02-10,2023-09-14,2,"Director, Inbound International Investment"
Ingrid Defreitas,Ingrid Defreitas,2021-07-28,2023-09-06,5,Director
Ingrid Defretias,Ingrid Defreitas,2023-02-15,2023-02-15,1,Director
Ingrid Defrietas,Ingrid Defrietas,2024-09-05,2024-09-05,1,Tax Policy Officer
Ingrid Neubert,Ingrid Neubert,2015-02-03,2016-08-12,4,Administrative Assistant
Ingrid Pringle,Ingrid Pringle,2008-08-18,2014-02-05,3,Assistant to the Regional Director
Ingrid Schenk,Ingrid Schenk,2011-03-30,2011-07-26,6,Acting Director
Ingrida Darasaite,Ingrida Darasaite,2024-11-05,2024-11-05,1,"Counsellor, Trade"
Inna Ilienko,Inna Ilienko,2023-01-05,2024-08-28,5,Business Analyst
Inta Koltins,Inta Koltins,2015-01-20,2015-01-20,1,"Special Assistant, Case Management"
Inyangudor Idee,Inyangudor Idee,2013-06-20,2013-12-11,2,Director of Policy and Stakeholder Relations
Ioanna Sahas Martin,Ioanna Sahas Martin,2014-04-16,2020-02-04,2,Director
Ionna Sahas Martin,Ionna Sahas Martin,2022-12-06,2022-12-06,1,"Executive Director, Pan Africa and Regional Development"
Ioulia Mish,Ioulia Mish,2023-11-01,2023-11-01,2,Director
Iqbal Sultani,Iqbal Sultani,2022-09-28,2023-06-16,27,Special Assistant
Iqra Kahlid,Iqra Kahlid,2023-02-07,2023-02-07,1,Member of Parliament
Iqra Khalid,Iqra Khalid,2016-01-15,2025-06-11,206,Member of Parliament
Iqwinder Gaheer,Iqwinder Gaheer,2021-11-09,2025-06-03,144,Member of Parliament
Ira Khadkar,Ira Khadkar,2023-09-11,2023-09-11,1,"Advisor, Atlantic Canada"
Ira Khedkar,Ira Khedkar,2023-06-14,2024-02-08,18,Communications and Atlantic Advisor
Irek Kusmeirczyk,Irek Kusmeirczyk,2020-05-01,2020-05-25,2,Parliamentary Secretary
Irek Kusmerczyk,Irek Kusmeirczyk,2020-03-24,2020-03-24,1,Parliamentary Secretary
Irek Kusmericzyk,Irek Kusmierczyk,2024-09-23,2024-09-23,1,Member of Parliament
Irek Kusmiercayk,Irek Kusmierczyk,2020-11-23,2020-11-23,1,Member of Parliament
Irek Kusmierczky,Irek Kusmierczyk,2020-10-29,2020-10-29,2,Member of Parliament
Irek Kusmierczyk,Irek Kusmierczyk,2019-11-28,2025-03-20,171,Member of Parliament
Irek Kuzmierczyk,Irek Kusmeirczyk,2020-02-20,2020-02-20,1,Parliamentary Secretary
Irena Spasovska,Irena Spasovska,2020-06-23,2020-06-23,1,Senior Special Assistant
Irene Brueckner-irwin,Irene Brueckner-irwin,2020-11-20,2021-03-03,6,Legislative Assistant
Irene Cheung,Irene Cheung,2018-09-25,2021-11-16,208,Policy Advisor
Irene Chung,Irene Chung,2018-11-13,2019-05-10,6,Policy Advisor
Irene Coyle,Irene Coyle,2009-09-30,2009-09-30,1,Research Engineer
Irene Irene Makary-abourizk,Irene Irene Makary-abourizk,2023-03-16,2023-03-16,1,Principal Analyst
Irene Kusmierczyk,Irek Kusmierczyk,2020-03-09,2020-03-09,1,Member of Parliament
Irene Makary-abourizk,Irene Makary-abourizk,2023-03-09,2023-11-23,5,Principal Analyst
Irene Matheson,Irene Mathyssen,2014-04-07,2014-04-07,1,Member of Parliament
Irene Mathyseen,Irene Mathyssen,2015-03-26,2015-03-26,1,Member of Parliament
Irene Mathysen,Irene Mathyssen,2017-02-14,2017-02-14,1,Member of Parliament
Irene Mathyson,Irene Mathyssen,2014-10-06,2014-10-06,1,Member of Parliament
Irene Mathyssen,Irene Mathyssen,2010-09-21,2021-03-04,220,Member of Parliament
Irene Mathysson,Irene Mathyssen,2011-11-29,2017-11-07,3,Member of Parliament
Irene Mathysssen,Irene Mathyssen,2012-06-04,2012-06-04,1,Member of Parliament
Irene Mattyson,Irene Mathyssen,2012-10-18,2012-10-18,1,Member of Parliament
Irene Mikawoz,Irene Mikawoz,2011-08-23,2024-02-27,2,Deputy Director
Irene Serry,Irene Serry,2017-12-12,2018-02-01,5,Assistant to the Minister
Irina Petrova,Irina Petrova,2017-02-07,2017-03-21,3,Commerce Officer
Iris G. Petten,Iris Petten,2023-10-03,2024-11-19,5,Senator
Iris Petten,Iris Petten,2023-06-07,2025-06-11,13,Senator
Irving Gerstein,Irving Gerstein,2009-03-23,2015-12-09,19,Senator
Irving R. Gerstein,Irving Gerstein,2012-01-12,2012-01-12,1,Senator
Irwin Bess,Irwin Bess,2012-08-17,2021-03-25,4,Director General
Irwin Colter,Irwin Colter,2013-11-26,2013-11-26,1,Member of Parliament
Irwin Cotler,Irwin Cotler,2010-11-26,2023-08-30,39,Member of Parliament
Iryna Pryhara,Iryna Pryhara,2020-02-21,2020-02-26,2,Policy Analyst
Iryna Zamchevska,Iryna Zamchevska,2022-03-08,2022-03-08,1,Program Advisor
Isa Gros-louis,Isa Gros-louis,2017-07-17,2017-07-17,1,"Director, Strategic Policy, Planning and Portfolio Affairs"
Isa Tobas,Isa Tobas,2024-09-18,2024-09-18,1,Senior Advisor
Isa Tobpas,Isa Tobpas,2021-06-02,2021-06-02,1,"Regional Advisor, Ontario"
Isa Topbas,Isa Topbas,2021-04-06,2025-02-05,114,Policy Advisor
Isaac Breadner,Isaac Breadner,2008-08-26,2008-09-05,3,Executive Assistant to the Minister
Isaac Cockburn,Isaac Cockburn,2017-11-07,2017-11-07,1,Chief of Staff
Isabel Agolini,Isabel Agolini,2024-11-26,2025-05-14,4,Program Coordinator
Isabel Davis,Isabel Davis,2021-06-02,2021-06-02,3,Intern
Isabel Giardino,Isabel Giardino,2021-01-14,2024-12-09,3,Manager
Isabel Hernando,Isabel Hernando,2024-09-16,2024-09-16,1,"Senior International Assistance Officer, Development Cooperation"
Isabel Jaen Raasch,Isabel Jaen Raasch,2016-06-07,2020-12-09,2,General Counsel
Isabel Mainville,Isabel Mainville,2022-05-12,2022-05-25,3,Deputy Director
Isabel Morin,Isabelle Morin,2014-11-05,2014-11-05,1,Member of Parliament
Isabel O'rourke,Isabel Orourke,2021-01-15,2021-01-15,1,Administrative Officer
Isabel Ranger,Isabel Ranger,2020-10-06,2020-10-06,1,Director
Isabel Simon,Isabel Simon,2012-06-11,2012-06-11,1,Assistant
Isabel-alissa Jenish,Isabel-alissa Jenish,2022-10-04,2022-10-04,1,"Stakeholder Relations Analyst, Bank of Canada"
Isabell Laliberte,Isabelle Laliberte,2023-11-28,2023-11-28,1,Policy Advisor
Isabella An,Isabella An,2023-02-22,2023-02-22,1,"Assistant Secretary to the Cabinet, Social Development Policy"
Isabella Brisson,Isabella Brisson,2022-03-02,2022-04-21,3,"Acting Director, Communications | Press Secretary"
Isabella Chan,Isabella Chan,2020-10-09,2025-05-27,114,Senior Assistant Deputy Minister
Isabella Jimenez,Isabella Jimenez,2022-07-05,2022-07-05,1,Research Officer
Isabella Merola,Isabella Merola,2021-07-08,2021-07-08,1,Analyst
Isabella Orozco-madison,Isabella Orozco-madison,2018-10-31,2018-10-31,1,Special Assistant
Isabelle Aubin,Isabelle Aubin,2020-08-25,2021-10-15,6,Senior Advisor to the Associate Assistant Deputy Minister
Isabelle Beauchamp,Isabelle Beauchamp,2024-10-22,2024-10-22,1,Assistant
Isabelle Berand,Isabelle Berand,2009-03-10,2009-03-10,1,Director
Isabelle Berard,Isabelle Berard,2010-09-17,2020-10-22,13,Director General
Isabelle Blain,Isabelle Blain,2008-11-05,2012-05-16,13,Vice President
Isabelle Blaine,Isabelle Blain,2010-05-05,2010-05-05,1,Vice President
Isabelle Blair,Isabelle Blain,2009-04-28,2009-04-28,1,Vice President
Isabelle Bouchard,Isabelle Bouchard,2009-09-10,2024-01-25,7,Policy Advisor
Isabelle Bourassa,Isabelle Bourassa,2013-10-01,2013-10-01,1,Parliamentary Assistant
