raw name,cleaned name,first_appearance,last_appearance,count,title
Hauke Harms,Hauke Harms,2023-01-30,2023-10-20,2,"Trade Commissioner, Embassy of Canada"
Havelin Anand,Havelin Anand,2009-06-15,2009-06-15,2,Director General
Hawkins Bill,Hawkins Bill,2011-08-24,2013-10-28,4,Chief of Staff
Hawn Laurie,Hawn Laurie,2011-11-15,2011-11-15,1,Member of Parliament
Hayden Gowan,Hayden Gowan,2020-11-26,2023-10-05,4,Parliamentary Assistant
Hayden Moher,Hayden Moher,2016-11-22,2024-01-22,12,Staffer
Hayden Trenholm,Hayden Trenholm,2008-10-30,2016-10-18,3,Director of Policy
Haydon Place,Haydon Place,2012-06-11,2012-06-11,1,Assistant
Hayley Jean Rahman,Hayley Jean Rahman,2017-11-14,2017-11-14,1,Trade Commissioner
Hayley Provost,Hayley Provost,2025-03-26,2025-03-26,1,Junior Advisor
Hayley Quipp,Hayley Quipp,2020-02-27,2023-10-24,4,Legislative Assistant
Heasi Hujaleh,Hersi Hujaleh,2016-10-06,2016-10-06,1,Policy Advisor
Heath Lariviere,Heath Lariviere,2024-11-06,2024-11-06,2,Director
Heath Macdonald,Heath Macdonald,2021-12-14,2025-06-05,111,Member of Parliament
Heath Mcdonald,Heath Mcdonald,2022-10-18,2023-11-28,3,Member of Parliament
Heather Anderson,Heather Anderson,2009-09-30,2016-03-22,9,Senior Policy Advisor
Heather Arbuckle,Heather Arbuckle,2019-09-27,2024-06-07,28,"Manager, Horticulture Commodities"
Heather Bradley,Heather Bradley,2016-08-31,2016-08-31,1,Director of Communications
Heather Brown,Heather Brown,2020-06-26,2023-05-31,6,National Manager
Heather Bystryk,Heather Bystryk,2012-03-03,2025-03-19,7,Trade Commissioner
Heather Calvert,Heather Calvert,2024-12-12,2024-12-12,1,Policy Advisor
Heather Cameron,Heather Cameron,2010-11-02,2013-08-19,3,"Director General, Programming"
Heather Carriere,Heather Carriere,2021-12-17,2021-12-29,2,"Executive Director, Oversight"
Heather Chaisson,Heather Chaisson,2017-10-26,2017-10-26,1,Special Assistant
Heather Chiasson,Heather Chiasson,2016-03-24,2018-09-10,11,Special Assistant
Heather Crowe,Heather Crowe,2024-11-25,2024-11-25,1,Chief of Staff
Heather Cruden,Heather Cruden,2009-06-22,2011-07-19,2,"Minister Counsellor, Development | Head of Aid"
Heather Culbert,Heather Culbert,2020-04-03,2020-05-25,2,Director
Heather Cuthbert,Heather Cuthbert,2020-11-12,2020-11-12,1,Vice Chair
Heather Darch,Heather Darch,2016-08-09,2016-09-27,2,Evaluation Specialist
Heather Dauphinee,Heather Dauphinee,2008-11-28,2008-11-28,2,"Chief of Staff | Executive Advisor, Materiel Group"
Heather De Santis,Heather De Santis,2018-04-18,2018-10-19,2,Chief of Staff
Heather Deehan,Heather Deehan,2021-01-06,2025-03-24,5,Director
Heather Domerackyj,Heather Domerackyj,2011-01-25,2011-01-25,1,Press Secretary
Heather Domereckyj,Heather Domerackyj,2014-04-29,2014-04-29,1,Press Secretary
Heather Dryburgh,Heather Dryburgh,2019-05-08,2019-05-08,1,Acting Director General
Heather Dryden,Heather Dryden,2017-06-13,2017-06-13,1,Senior Policy Advisor
Heather Earle,Heather Earle,2022-11-03,2024-11-05,3,Manager
Heather Egan,Heather Egan,2023-10-31,2024-02-15,2,Office Manager and Finance Administrator
Heather Elliot,Heather Elliot,2024-08-08,2024-08-08,1,Senior Business Analyst
Heather Elliott,Heather Elliott,2019-11-25,2019-11-25,1,Senior Advisor to Deputy Minister Champion
Heather Finn,Heather Finn,2011-11-22,2011-11-22,1,Member of Parliament
Heather Foley Melvin,Heather Foley Melvin,2012-11-02,2015-07-23,8,"Director, Regional Affairs"
Heather Foley-melvin,Heather Foley Melvin,2013-10-28,2014-11-28,5,"Director, Regional Affairs"
Heather Forsyth,Heather Forsyth,2018-12-04,2020-02-25,4,Policy Advisor
Heather Gordon,Heather Gordon,2023-08-10,2023-08-10,2,"Manager, Canadian Water Agency Transition Office"
Heather Hall,Heather Hall,2011-09-09,2017-07-25,6,Associate Director
Heather Harpell,Heather Harpell,2023-05-30,2023-05-30,1,Environmental Assessment Specialist
Heather Heather Sheehy,Heather Heather Sheehy,2018-07-16,2018-07-16,1,"Associate Assistant Deputy Minister, Strategic Service Policy"
Heather Holland,Heather Holland,2023-09-14,2023-10-03,2,National Manager
Heather Hossle,Heather Hossle,2024-05-13,2024-05-13,1,Director
Heather James,Heather James,2009-06-01,2009-06-01,1,"Chief, Pacific Operations"
Heather Jefferey,Heather Jefferey,2021-11-05,2021-11-05,1,Associate Deputy Minister
Heather Jefferies,Heather Jefferies,2016-09-08,2016-09-08,1,Director General
Heather Jeffrey,Heather Jeffrey,2012-05-09,2024-04-30,114,Assistant Deputy Minister
Heather Jeffreys,Heather Jeffreys,2016-04-06,2020-03-20,2,Assistant Deputy Minister
Heather Kay,Heather Kay,2012-09-07,2013-04-09,3,Senior Economist
Heather Knudsen,Heather Knudsen,2021-08-30,2021-09-29,2,Team Leader
